                 t           Prod
843      67.516519   46298.734796
844      67.596609   46353.591116
845      67.676700   46408.447437
846      67.756791   46463.303758
847      67.836882   46518.160079
848      67.916973   46573.016400
849      67.997063   46627.872721
850      68.077154   46682.729042
851      68.157245   46737.585362
852      68.237336   46792.441683
853      68.317426   46847.298004
854      68.397517   46902.154325
855      68.477608   46957.010646
856      68.557699   47011.866967
857      68.637789   47066.723287
858      68.717880   47121.579608
859      68.797971   47176.435929
860      68.878062   47231.292250
861      68.958153   47286.148571
862      69.038243   47341.004892
863      69.118334   47395.861213
864      69.198425   47450.717533
865      69.278516   47505.573854
866      69.358606   47560.430175
867      69.438697   47615.286496
868      69.518788   47670.142817
869      69.598879   47724.999138
870      69.678969   47779.855459
871      69.759060   47834.711779
872      69.839151   47889.568100
873      69.919242   47944.424421
874      69.999333   47999.280742
875      70.079423   48054.137063
876      70.159514   48108.993384
877      70.239605   48163.849704
878      70.319696   48218.706025
879      70.399786   48273.562346
880      70.479877   48328.418667
881      70.559968   48383.274988
882      70.640059   48438.131309
883      70.720150   48492.987630
884      70.800240   48547.843950
885      70.880331   48602.700271
886      70.960422   48657.556592
887      71.040513   48712.412913
888      71.120603   48767.269234
889      71.200694   48822.125555
890      71.280785   48876.981875
891      71.360876   48931.838196
892      71.440966   48986.694517
893      71.521057   49041.550838
894      71.601148   49096.407159
895      71.681239   49151.263480
896      71.761330   49206.119801
897      71.841420   49260.976121
898      71.921511   49315.832442
899      72.001602   49370.688763
900      72.081693   49425.545084
901      72.161783   49480.401405
902      72.241874   49535.257726
903      72.321965   49590.114047
904      72.402056   49644.970367
905      72.482146   49699.826688
906      72.562237   49754.683009
907      72.642328   49809.539330
908      72.722419   49864.395651
909      72.802510   49919.251972
910      72.882600   49974.108292
911      72.962691   50028.964613
912      73.042782   50083.820934
913      73.122873   50138.677255
914      73.202963   50193.533576
915      73.283054   50248.389897
916      73.363145   50303.246218
917      73.443236   50358.102538
918      73.523326   50412.958859
919      73.603417   50467.815180
920      73.683508   50522.671501
921      73.763599   50577.527822
922      73.843690   50632.384143
923      73.923780   50687.240463
924      74.003871   50742.096784
925      74.083962   50796.953105
926      74.164053   50851.809426
927      74.244143   50906.665747
928      74.324234   50961.522068
929      74.404325   51016.378389
930      74.484416   51071.234709
931      74.564506   51126.091030
932      74.644597   51180.947351
933      74.724688   51235.803672
934      74.804779   51290.659993
935      74.884870   51345.516314
936      74.964960   51400.372634
937      75.045051   51455.228955
938      75.125142   51510.085276
939      75.205233   51564.941597
940      75.285323   51619.797918
941      75.365414   51674.654239
942      75.445505   51729.510560
943      75.525596   51784.366880
944      75.605686   51839.223201
945      75.685777   51894.079522
946      75.765868   51948.935843
947      75.845959   52003.792164
948      75.926050   52058.648485
949      76.006140   52113.504806
950      76.086231   52168.361126
951      76.166322   52223.217447
952      76.246413   52278.073768
953      76.326503   52332.930089
954      76.406594   52387.786410
955      76.486685   52442.642731
956      76.566776   52497.499051
957      76.646866   52552.355372
958      76.726957   52607.211693
959      76.807048   52662.068014
960      76.887139   52716.924335
961      76.967230   52771.780656
962      77.047320   52826.636977
963      77.127411   52881.493297
964      77.207502   52936.349618
965      77.287593   52991.205939
966      77.367683   53046.062260
967      77.447774   53100.918581
968      77.527865   53155.774902
969      77.607956   53210.631222
970      77.688046   53265.487543
971      77.768137   53320.343864
972      77.848228   53375.200185
973      77.928319   53430.056506
974      78.008410   53484.912827
975      78.088500   53539.769148
976      78.168591   53594.625468
977      78.248682   53649.481789
978      78.328773   53704.338110
979      78.408863   53759.194431
980      78.488954   53814.050752
981      78.569045   53868.907073
982      78.649136   53923.763393
983      78.729226   53978.619714
984      78.809317   54033.476035
985      78.889408   54088.332356
986      78.969499   54143.188677
987      79.049590   54198.044998
988      79.129680   54252.901319
989      79.209771   54307.757639
990      79.289862   54362.613960
991      79.369953   54417.470281
992      79.450043   54472.326602
993      79.530134   54527.182923
994      79.610225   54582.039244
995      79.690316   54636.895565
996      79.770406   54691.751885
997      79.850497   54746.608206
998      79.930588   54801.464527
999      80.010679   54856.320848
1000     80.090770   54911.177169
1001     80.170860   54966.033490
1002     80.250951   55020.889810
1003     80.331042   55075.746131
1004     80.411133   55130.602452
1005     80.491223   55185.458773
1006     80.571314   55240.315094
1007     80.651405   55295.171415
1008     80.731496   55350.027736
1009     80.811586   55404.884056
1010     80.891677   55459.740377
1011     80.971768   55514.596698
1012     81.051859   55569.453019
1013     81.131950   55624.309340
1014     81.212040   55679.165661
1015     81.292131   55734.021981
1016     81.372222   55788.878302
