          x  Sw_0         p_0      Sw_1          p_1      Sw_2          p_2      Sw_3          p_3      Sw_4          p_4   C_0            C_1            C_2           C_3           C_4 
100  1000.0  0.251  241.907026  0.251000   241.907026  0.588151   482.831490  0.726374  1914.522016  0.736313  3627.702411   0.0   1.916249e-94   6.500748e+01  4.994162e+02  4.559586e+02
101  1010.0  0.251  239.487955  0.251000   239.487955  0.580483   472.467264  0.725942  1869.029374  0.735902  3587.837527   0.0  1.179998e-100   5.421304e+01  4.992065e+02  4.635240e+02
102  1020.0  0.251  237.068885  0.251000   237.068885  0.573009   462.755955  0.725488  1823.502588  0.735505  3547.167836   0.0  7.240129e-107   4.474479e+01  4.989314e+02  4.700325e+02
103  1030.0  0.251  234.649815  0.251000   234.649815  0.565854   453.621654  0.725009  1777.946945  0.735124  3505.801942   0.0  4.439487e-113   3.654301e+01  4.985737e+02  4.755776e+02
104  1040.0  0.251  232.230745  0.251000   232.230745  0.559141   444.990732  0.724503  1732.369457  0.734759  3463.838698   0.0  2.727544e-119   2.952837e+01  4.981131e+02  4.802566e+02
105  1050.0  0.251  229.811674  0.251000   229.811674  0.552975   436.793129  0.723966  1686.779232  0.734410  3421.366864   0.0  1.681763e-125   2.360629e+01  4.975255e+02  4.841674e+02
106  1060.0  0.251  227.392604  0.251000   227.392604  0.547435   428.963452  0.723395  1641.187882  0.734077  3378.465094   0.0  1.041037e-131   1.867148e+01  4.967830e+02  4.874055e+02
107  1070.0  0.251  224.973534  0.251000   224.973534  0.542568   421.441842  0.722785  1595.609968  0.733760  3335.202218   0.0  6.464600e-138   1.461269e+01  4.958531e+02  4.900615e+02
108  1080.0  0.251  222.554464  0.251000   222.554464  0.538386   414.174574  0.722132  1550.063474  0.733457  3291.637734   0.0  4.021254e-144   1.131735e+01  4.946991e+02  4.922201e+02
109  1090.0  0.251  220.135393  0.251000   220.135393  0.534869   407.114374  0.721431  1504.570301  0.733168  3247.822460   0.0  2.501709e-150   8.675647e+00  4.932801e+02  4.939584e+02
110  1100.0  0.251  217.716323  0.251000   217.716323  0.531972   400.220444  0.720678  1459.156758  0.732891  3203.799307   0.0  1.554594e-156   6.584055e+00  4.915504e+02  4.953456e+02
111  1110.0  0.251  215.297253  0.251000   215.297253  0.529631   393.458244  0.719866  1413.854047  0.732624  3159.604096   0.0  9.642818e-163   4.947837e+00  4.894608e+02  4.964427e+02
112  1120.0  0.251  212.878182  0.251000   212.878182  0.527772   386.799060  0.718990  1368.698718  0.732366  3115.266400   0.0  5.969982e-169   3.682667e+00  4.869583e+02  4.973027e+02
113  1130.0  0.251  210.459112  0.251000   210.459112  0.526321   380.219434  0.718044  1323.733070  0.732117  3070.810370   0.0  3.690819e-175   2.715340e+00  4.839871e+02  4.979708e+02
114  1140.0  0.251  208.040042  0.251000   208.040042  0.525203   373.700517  0.717020  1279.005478  0.731873  3026.255517   0.0  2.280232e-181   1.983727e+00  4.804895e+02  4.984854e+02
115  1150.0  0.251  205.620972  0.251000   205.620972  0.524355   367.227391  0.715910  1234.570631  0.731636  2981.617434   0.0  1.408922e-187   1.436177e+00  4.764070e+02  4.988783e+02
116  1160.0  0.251  203.201901  0.251000   203.201901  0.523718   360.788417  0.714707  1190.489642  0.731402  2936.908456   0.0  8.711967e-194   1.030540e+00  4.716816e+02  4.991756e+02
117  1170.0  0.251  200.782831  0.251000   200.782831  0.523244   354.374641  0.713402  1146.830034  0.731171  2892.138228   0.0  5.392690e-200   7.330037e-01  4.662573e+02  4.993988e+02
118  1180.0  0.251  198.363761  0.251000   198.363761  0.522895   347.979257  0.711984  1103.665560  0.730943  2847.314217   0.0  3.341567e-206   5.168647e-01  4.600815e+02  4.995648e+02
119  1190.0  0.251  195.944691  0.251000   195.944691  0.522640   341.597155  0.710442  1061.075867  0.730716  2802.442131   0.0  2.072206e-212   3.613394e-01  4.531071e+02  4.996872e+02
120  1200.0  0.251  193.525620  0.251000   193.525620  0.522454   335.224544  0.708764  1019.145977  0.730489  2757.526279   0.0  1.285516e-218   2.504690e-01  4.452938e+02  4.997766e+02
121  1210.0  0.251  191.106550  0.251000   191.106550  0.522319   328.858637  0.706937   977.965602  0.730263  2712.569873   0.0  7.974587e-225   1.721554e-01  4.366099e+02  4.998412e+02
122  1220.0  0.251  188.687480  0.251000   188.687480  0.522220   322.497412  0.704945   937.628284  0.730037  2667.575260   0.0  4.945335e-231   1.173383e-01  4.270339e+02  4.998874e+02
123  1230.0  0.251  186.268410  0.251000   186.268410  0.522148   316.139414  0.702771   898.230382  0.729809  2622.544126   0.0  3.065361e-237   7.931083e-02  4.165558e+02  4.999199e+02
124  1240.0  0.251  183.849339  0.251000   183.849339  0.522094   309.783605  0.700395   859.869923  0.729580  2577.477642   0.0  1.899239e-243   5.316425e-02  4.051784e+02  4.999421e+02
125  1250.0  0.251  181.430269  0.251000   181.430269  0.522053   303.429256  0.697794   822.645350  0.729349  2532.376593   0.0  1.176403e-249   3.534447e-02  3.929178e+02  4.999567e+02
126  1260.0  0.251  179.011199  0.251000   179.011199  0.522020   297.075850  0.694943   786.654193  0.729116  2487.241469   0.0  7.286239e-256   2.330555e-02  3.798038e+02  4.999653e+02
